top	id	flows	u	au	ch	RM	RMt	RMm	RMp	RMh	DM	DMt	DMm	DMp	DMh	PDM	PDMt	PDMm	PDMp	PDMh	CLLF	CLLFt	CLLFm	CLLFp	CLLFh	EDF	EDFt	EDFm	EDFp	EDFh	LST	LSTt	LSTm	LSTp	LSTh	EPD	EPDt	EPDm	EPDp	EPDh	EDZL	EDZLt	EDZLm	EDZLp	EDZLh	LST_MCF	LST_MCFt	LST_MCFm	LST_MCFp	LST_MCFh	Alice	Alicet	Alicem	Alicep	Aliceh	Tasa	Tasat	Tasam	Tasap	Tasah	Random	Randomt	Randomm	Randomp	Randomh
65	2894	21	15.853	13.832	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2895	21	4.984	4.167	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2895	21	4.984	4.167	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2895	21	4.984	4.167	4	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2895	21	4.984	4.167	8	1	4	4	9613	2000	1	5	4	9613	2000	1	5	4	9361	2000	1	231	3	9846	2000	1	4	4	8682	2000	1	5	4	9666	2000	1	5	5	12124	2000	1	5	4	9916	2000	1	12	4	10006	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2895	21	4.984	4.167	16	1	4	6	10852	2000	1	5	6	10852	2000	1	5	6	10549	2000	1	225	7	11303	2000	1	4	7	9927	2000	1	5	7	11219	2000	1	4	8	11421	2000	1	5	7	11125	2000	1	12	7	11244	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	2896	37	4.466	3.871	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
66	2896	37	4.466	3.871	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
66	2896	37	4.466	3.871	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8189	5	127163	10000	1	49	5	67503	10000	1	57	9	112036	10000	1	70	13	241332	10000	1	57	10	91478	10000	1	189	8	113222	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	2896	37	4.466	3.871	8	1	34	6	62926	10000	1	32	6	62926	10000	1	38	5	59728	10000	1	2883	6	70639	10000	1	30	5	58164	10000	1	32	6	67672	10000	1	35	10	94601	10000	1	32	6	63003	10000	1	88	7	66644	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
