1P,2P
0.990044,0.995338
0.991467,0.994859
0.976765,0.982005
0.963713,0.979265
0.966100,0.981237
0.982307,0.988420
0.972226,0.985123
0.974287,0.986315
0.963958,0.982345
0.904042,0.941992
0.973753,0.986481
0.958604,0.975896
0.978911,0.988097
0.949701,0.974927
0.946353,0.967240
0.944347,0.967900
0.871948,0.931346
0.915734,0.953661
0.923334,0.953465
0.951916,0.977482
0.869516,0.938505
0.985418,0.996115
0.983918,0.992920
0.976707,0.988117
0.997002,0.997910
0.994176,0.998075
0.968929,0.981441
0.972035,0.986374
0.927426,0.960004
0.946849,0.968403
0.875366,0.924112
0.842628,0.917793
0.961294,0.982058
0.897117,0.940087
0.876188,0.940419
0.981695,0.990162
0.966948,0.980776
0.905495,0.950793
0.951290,0.969159
0.912351,0.950885
0.976787,0.987732
0.921450,0.962227
0.942589,0.967791
0.977814,0.987898
0.975943,0.990969
0.933362,0.967082
0.951157,0.968085
0.907740,0.948681
0.980335,0.990914
0.984777,0.991193
0.929985,0.969279
0.990741,0.994659
0.961127,0.972338
0.947721,0.962288
0.815153,0.883492
0.841664,0.904135
0.953349,0.971419
0.914055,0.949608
0.939118,0.969219
0.787262,0.890413
0.890135,0.934563
0.935157,0.960845
0.765977,0.844147
0.882530,0.930581
0.919203,0.964695
0.952457,0.973344
0.830041,0.890413
0.777458,0.853185
0.841716,0.885131
0.840512,0.923293
0.844636,0.910743
0.946831,0.972580
0.947717,0.973011
0.852811,0.899630
0.970623,0.989230
0.852737,0.907068
0.865699,0.907999
0.959277,0.977007
0.948500,0.968586
0.954398,0.975618
0.950392,0.972147
0.767325,0.858652
0.955198,0.977486
0.882182,0.913266
0.965656,0.978721
0.777815,0.854214
0.960127,0.977218
0.931727,0.960832
0.952208,0.971213
0.918924,0.952695
0.845019,0.907372
0.966678,0.979553
0.840103,0.901819
0.936973,0.963069
0.914408,0.945405
0.928997,0.959757
0.915880,0.961700
0.826591,0.880596
0.850852,0.903859
0.822506,0.877911
0.955333,0.975463
0.912521,0.949550
0.968147,0.983366
0.943031,0.965066
0.954929,0.974295
0.964401,0.981232
0.960542,0.979430
0.848366,0.905402
0.947944,0.973448
0.954902,0.974611
0.943162,0.965565
0.963081,0.979465
0.937232,0.963653
0.947718,0.975528
0.946362,0.970594
0.967345,0.982539
0.957233,0.976201
0.955728,0.975065
0.928898,0.958277
0.940990,0.971830
0.929788,0.965126
0.950075,0.969663
0.949101,0.976208
0.949028,0.969800
0.947985,0.970519
0.931839,0.964043
0.906033,0.941412
0.976093,0.989090
0.962280,0.978636
0.953765,0.974085
0.961551,0.984776
0.919926,0.953207
0.970356,0.982857
0.912685,0.951670
0.858289,0.909110
0.906146,0.950750
0.950671,0.975892
0.917492,0.963175
0.968170,0.982333
0.903106,0.930102
0.905212,0.940362
0.954437,0.972447
0.925666,0.956023
0.962120,0.979118
0.934565,0.964740
0.958388,0.976351
0.982395,0.989651
0.912372,0.958427
0.946617,0.975880
0.898776,0.940574
0.872381,0.910794
0.961172,0.978661
0.953381,0.973669
0.884302,0.916633
0.972030,0.985759
0.936524,0.962216
0.970301,0.991606
0.952175,0.973030
0.934966,0.969732
0.951966,0.973122
0.956695,0.976656
0.887813,0.924662
0.960054,0.975007
0.951877,0.969196
0.950940,0.973411
0.979717,0.988963
0.982273,0.991849
0.998421,0.998948
0.922505,0.969693
0.996182,0.999206
0.907696,0.942861
0.946630,0.974984
0.946169,0.978412
0.992745,0.995299
0.963187,0.982147
0.950558,0.974094
0.966908,0.981406
0.956907,0.967491
0.976021,0.985269
0.990647,0.994814
0.983605,0.991343
0.959332,0.966247
0.936783,0.962320
0.949558,0.975472
0.987992,0.992499
0.939113,0.965191
0.898408,0.939759
0.929201,0.960875
0.943820,0.963711
0.941878,0.976657
0.968074,0.982345
0.945461,0.968841
0.930611,0.957798
0.970541,0.982080
0.941636,0.967032
0.959255,0.974280
0.962048,0.977469
0.956854,0.975311
0.983663,0.991368
0.984770,0.991814
0.931742,0.962020
0.939728,0.964839
0.946350,0.969195
0.916502,0.957779
0.972516,0.989154
0.923358,0.954496
0.921139,0.950088
0.890512,0.935224
0.925334,0.954628
0.949377,0.969329
0.886295,0.930087
0.849384,0.905719
0.923019,0.952456
0.901742,0.942494
0.964978,0.981938
0.930866,0.961633
0.907311,0.942266
0.931502,0.959512
0.939326,0.960945
0.891394,0.936021
0.958908,0.976940
0.928758,0.959268
0.965512,0.980865
0.950748,0.975461
0.953280,0.974184
0.947631,0.968981
0.962520,0.978806
0.971057,0.984102
0.952924,0.973686
0.977687,0.990818
0.957929,0.977018
0.976843,0.987499
0.943532,0.968101
0.974478,0.985987
0.941129,0.962478
0.977452,0.990471
0.953610,0.971950
0.972156,0.985060
0.977554,0.987884
0.977518,0.987211
0.970312,0.983892
0.960066,0.980545
0.985657,0.992329
0.968414,0.984351
0.940840,0.966843
0.971556,0.983447
0.952511,0.972002
0.970632,0.983268
0.944612,0.970628
0.978279,0.987361
0.974463,0.989609
0.971068,0.984522
0.972118,0.987441
0.951562,0.973154
0.963647,0.979806
0.961348,0.978258
0.987894,0.995935
0.966407,0.980615
0.951980,0.976444
0.964902,0.982363
0.965382,0.981415
0.977747,0.986487
0.969699,0.986712
0.966306,0.980717
0.922508,0.954048
0.939430,0.961568
0.979796,0.989092
0.948112,0.975992
0.899146,0.937733
0.928579,0.958957
0.927831,0.959135
0.954837,0.973883
0.921435,0.956238
0.941604,0.969011
0.932575,0.961614
0.936182,0.961250
0.933342,0.959980
0.989945,0.992740
0.859733,0.917947
0.958496,0.976243
0.981818,0.989697
0.966819,0.983976
0.973145,0.985145
0.973875,0.985913
0.913195,0.955394
0.903312,0.943062
0.965796,0.981597
0.976068,0.990524
0.933945,0.960900
0.941446,0.966810
0.961621,0.980187
0.956501,0.978436
0.938190,0.964968
0.953185,0.979844
0.930931,0.959796
0.968519,0.980926
0.951589,0.968338
0.968454,0.982053
0.964499,0.980105
0.945356,0.967259
0.945914,0.969360
0.922065,0.956124
0.984019,0.991034
0.947789,0.973923
0.971712,0.990660
0.959269,0.976994
0.954664,0.974496
0.977006,0.990903
0.927846,0.961322
0.957414,0.976441
0.968264,0.983691
0.979572,0.989012
0.950484,0.971417
0.980015,0.989038
0.995679,0.997626
0.927793,0.959774
0.891308,0.916826
0.965313,0.980618
0.924561,0.954698
0.926649,0.956737
0.917641,0.945679
0.899328,0.938236
0.986971,0.990507
0.963937,0.980961
0.913619,0.929961
0.929649,0.960949
0.970962,0.981790
0.940892,0.966239
0.971208,0.985262
0.940955,0.966697
0.974996,0.983880
0.975587,0.985792
0.876983,0.924314
0.995083,0.996979
0.983141,0.990268
0.944239,0.958035
0.970499,0.984035
0.911286,0.941307
0.949529,0.969540
0.852400,0.903682
0.976540,0.988067
0.986188,0.991964
0.951354,0.970944
0.986392,0.992356
0.921824,0.949451
0.944262,0.967079
0.979805,0.987830
0.953591,0.971601
0.944988,0.971479
0.977563,0.987071
0.936098,0.957289
0.947018,0.969827
0.953261,0.971881
0.927591,0.955956
0.968385,0.981053
0.925807,0.957643
0.932665,0.962270
0.987708,0.993368
0.937803,0.963005
0.963642,0.981164
0.933631,0.961926
0.945381,0.966897
0.950732,0.967658
0.941567,0.970789
0.945969,0.967787
0.971685,0.983703
0.939833,0.967692
